accel_x,accel_y,accel_z
1.000000510850362545e+01,9.999993690925519374e+00,2.051587156683986057e-01
1.000000728345302647e+01,9.999998646392747048e+00,2.051529562867162593e-01
1.000000000930227628e+01,9.999995165232542504e+00,2.051562254921330264e-01
9.999996055886590796e+00,1.000000184377151946e+01,2.051605044597633876e-01
9.999999885201228622e+00,1.000000791182117332e+01,2.051571479191463543e-01
9.999993363169449978e+00,9.999995068469495152e+00,2.051594533805675136e-01
1.000000261869416285e+01,1.000000092133373819e+01,2.051615536132748996e-01
9.999994140457836522e+00,9.999999065836124856e+00,2.051533330348020712e-01
1.000000192090566564e+01,1.000000117890691520e+01,2.051621064508954428e-01
9.999993694486787987e+00,9.999999614008217463e+00,2.051559467290299810e-01
9.999998808123649496e+00,1.000000128861032955e+01,2.051544127999186951e-01
1.000000434366267044e+01,9.999998429219417062e+00,2.051559993498285606e-01
9.999997866679416703e+00,9.999999414927430053e+00,2.051599102763367322e-01
1.000000121106420892e+01,9.999996016837492618e+00,2.051541640413492296e-01
9.999998491107874088e+00,9.999994218556629733e+00,2.051615252488211139e-01
1.000000338225518703e+01,9.999998172501070925e+00,2.051480900095448145e-01
1.000000024899368256e+01,9.999998371974731626e+00,2.051644223726560856e-01
1.000000043236075342e+01,9.999997690523663607e+00,2.051546835320938733e-01
9.999992905543432897e+00,1.000000331566971035e+01,2.051621854724060001e-01
1.000000380760299556e+01,1.000000267710255031e+01,2.051588085002740980e-01
9.999996827496596907e+00,1.000000035002916832e+01,2.051591620277444517e-01
1.000000541595865045e+01,9.999996209366257105e+00,2.051609028536713342e-01
9.999999762802961101e+00,9.999999501855841189e+00,2.051574515069027049e-01
9.999996109620356677e+00,1.000000466387067810e+01,2.051607248472982203e-01
9.999995338519847010e+00,1.000000123616333170e+01,2.051549254361416663e-01
9.999999583899089828e+00,9.999997774901796532e+00,2.051603625118257057e-01
9.999996345075430781e+00,9.999999805706025313e+00,2.051600251810645203e-01
1.000001068223497214e+01,9.999996885450526563e+00,2.051610145150978004e-01
1.000000110171118450e+01,9.999989500345419557e+00,2.051626635617027072e-01
9.999999451910881021e+00,1.000000190481848072e+01,2.051551106422909443e-01
1.000000633479089629e+01,9.999993830550273799e+00,2.051640317167566785e-01
1.000000560199241839e+01,9.999999196537908475e+00,2.051568095938019198e-01
9.999998005814539681e+00,1.000000827054939734e+01,2.051582122067772684e-01
1.000000286701951602e+01,1.000000234335169935e+01,2.051582059703676575e-01
1.000000293019753705e+01,9.999998868069486235e+00,2.051610123718554946e-01
1.000000271524326401e+01,9.999996010967835858e+00,2.051611337225938692e-01
9.999997900086988523e+00,1.000000508909410435e+01,2.051549124191067719e-01
1.000000082686508307e+01,9.999998164236290066e+00,2.051589628731427251e-01
1.000000393647476393e+01,9.999989413511521263e+00,2.051633475976431809e-01
9.999995376332558195e+00,9.999996861718630115e+00,2.051589271352129429e-01
1.000000458592005259e+01,1.000000252916474430e+01,2.051543040962188758e-01
9.999999036602655877e+00,9.999998507614344945e+00,2.051655256446064113e-01
9.999998923623712344e+00,9.999995517439169035e+00,2.051572193888560880e-01
1.000000542990706620e+01,1.000000262580526034e+01,2.051606300062079058e-01
9.999999466847194540e+00,9.999988180076844202e+00,2.051607676355935439e-01
9.999997373294778669e+00,1.000000132754809279e+01,2.051611243633609527e-01
9.999996774399267707e+00,9.999997282629907502e+00,2.051556173524577420e-01
9.999997163255319066e+00,1.000000109631780454e+01,2.051524887492277294e-01
1.000000117103407504e+01,9.999999321428326482e+00,2.051588442482759900e-01
9.999995283360599174e+00,1.000000586353912091e+01,2.051670619833747544e-01
1.000000143206955094e+01,1.000000061714678701e+01,2.051608546549342493e-01
9.999995090997455094e+00,1.000000048512043449e+01,2.051635058026481384e-01
1.000000937015904867e+01,9.999992507170620826e+00,2.051611957901961492e-01
9.999994856113767483e+00,9.999991487369348064e+00,2.051606333113709935e-01
1.000000006808018860e+01,9.999998052163336482e+00,2.051602286410086629e-01
9.999994422852571674e+00,9.999989916008200197e+00,2.051608166625852048e-01
9.999993292762002994e+00,1.000000041827587083e+01,2.051588626927251524e-01
1.000000186985053929e+01,9.999996516831910043e+00,2.051573484659994506e-01
1.000000138034206287e+01,9.999998175094548358e+00,2.051504155821914088e-01
1.000000686883883638e+01,9.999992622210948312e+00,2.051620684901994396e-01
9.999993366713237464e+00,1.000000265510301745e+01,2.051588717556142305e-01
1.000000564335653941e+01,9.999998661395091304e+00,2.051590245283625435e-01
1.000000610945171786e+01,9.999993360720633717e+00,2.051629692863751742e-01
1.000000502683459302e+01,9.999998594851211564e+00,2.051545870607973387e-01
9.999997033687014536e+00,9.999994551926588926e+00,2.051574269329540234e-01
1.000000001744210465e+01,1.000000064804613054e+01,2.051564310329638263e-01
9.999996447558853419e+00,9.999990045213447587e+00,2.051554256759162420e-01
9.999997673482170057e+00,9.999999738513530190e+00,2.051627341188754505e-01
1.000000014323825503e+01,9.999999466144789295e+00,2.051610298097898688e-01
9.999995782000116407e+00,9.999995106297847158e+00,2.051553697146942246e-01
1.000000871335440422e+01,9.999994559716730791e+00,2.051604653175412019e-01
9.999996954605894217e+00,9.999993248892653952e+00,2.051598227960713117e-01
1.000000225213224248e+01,9.999994955578470623e+00,2.051590350822022624e-01
9.999994284588460403e+00,1.000000278590281511e+01,2.051541733876075246e-01
9.999998528878133897e+00,1.000000047233989697e+01,2.051628589761739507e-01
9.999998818928844457e+00,1.000000246117414271e+01,2.051591186160283131e-01
9.999995592922882537e+00,9.999998264528089820e+00,2.051591146039533076e-01
9.999996502485602790e+00,9.999997690432300246e+00,2.051610896128951700e-01
9.999996784893566470e+00,9.999994826059698028e+00,2.051513474043591412e-01
1.000000219960188197e+01,1.000000168359198760e+01,2.051638378043025845e-01
1.000000410370339665e+01,9.999996467897906527e+00,2.051609950067743993e-01
9.999998726112409031e+00,9.999995969130758056e+00,2.051575572818359061e-01
9.999991525289365413e+00,1.000000178977153453e+01,2.051579084328659097e-01
9.999996281676656551e+00,9.999994100704167721e+00,2.051620832294216989e-01
9.999998721909122423e+00,9.999995875901870335e+00,2.051621723628485605e-01
9.999996571068656692e+00,9.999994377518952149e+00,2.051543694095791792e-01
9.999998367840126079e+00,1.000000181848865388e+01,2.051542408129865547e-01
9.999996906629341709e+00,9.999999924679174867e+00,2.051561485623724645e-01
9.999996532247774184e+00,1.000000803603301591e+01,2.051529528690926307e-01
1.000000292398063984e+01,9.999991407822555800e+00,2.051535147114050828e-01
9.999995435753934458e+00,9.999995300481272054e+00,2.051632868272964538e-01
1.000000645316329440e+01,1.000000044049217074e+01,2.051563008601561267e-01
1.000000039655787276e+01,9.999999168299394725e+00,2.051539073652388634e-01
1.000000588109874045e+01,1.000000253204113321e+01,2.051570157005930817e-01
