gyro_x,gyro_y,gyro_z
6.748496845052914675e-04,-8.375529165362230086e-05,5.043834019125114120e-06
-1.502831565329933790e-04,4.086736770174978039e-04,1.275502411236264740e-04
2.282461817920032273e-04,-6.223304600313624905e-05,-2.045092620303177891e-04
-1.797553366456823619e-04,-6.471163578519735201e-04,-3.022928401620349529e-04
-4.979349275986819681e-06,-4.344692483076808848e-04,3.645576739008566671e-04
7.051541290665489436e-04,1.739503644343210452e-04,-1.075678414045652198e-03
-1.515290332821573676e-06,-3.660796089600481889e-04,-3.886766384636274703e-04
5.862876962329673352e-04,-4.766302330411440759e-04,-3.280899742954570251e-04
-7.968564594582922152e-05,-2.097879869489846581e-04,-2.831166010871184247e-04
-3.927717762006553291e-04,-9.361454913388230241e-05,-2.784356887556421666e-05
4.173762642582114468e-05,1.046896345608316014e-04,2.552434989152070491e-04
-4.134890385617461472e-04,-2.692673235195934480e-04,-7.810088216124060946e-05
-3.905542532410415145e-04,2.843076092196878540e-04,-1.655673660689910742e-04
-3.760776362027648924e-05,3.326172884373025836e-04,-6.127441895898893068e-05
2.520267987354995911e-04,7.417695526898856171e-05,-1.452506236796522821e-04
-2.432791723609597804e-05,4.494699274723074804e-05,1.877261495006151055e-04
-1.394312314136481458e-04,-1.004114966485840864e-05,5.230966948118155255e-04
1.549979170315570344e-04,3.866095945433219074e-04,-1.699544074298097991e-04
-5.806189761693990201e-05,1.947264459474248399e-04,3.268421383687784973e-04
3.500526347137060748e-04,-6.258233118637313063e-04,-1.442702953257483391e-04
1.757995828544403865e-04,-5.160544909933585629e-05,1.497398346540434685e-04
8.221368381552033542e-06,-4.461650584124907679e-04,-5.281385785734731388e-04
-1.681897446857371324e-04,-1.469622640714672416e-04,2.545180099762588783e-04
-4.909944766995286147e-04,-5.027099128093056278e-04,-1.850027458650823178e-04
-7.859497285752386933e-05,7.184929688662572607e-05,2.280343095999540508e-04
-1.898966187376498058e-05,-2.439912036964544408e-04,1.369161182535136182e-04
-7.515542487931608584e-04,-5.339222413172215647e-04,-2.618734389614866018e-06
5.231707389499231633e-04,4.204854436409440868e-04,1.193190064772829304e-04
3.583301857393212417e-04,2.088661380353621548e-04,1.120908224020174639e-04
6.760986540107458864e-06,1.348522861201769513e-04,3.313872474360961523e-05
-1.150631602777086595e-04,2.919297168450158585e-05,1.980299083499544824e-04
5.599920915593945480e-04,-1.684408154942159720e-04,-5.438143470460078655e-06
-2.238264093254946905e-04,7.913822737622124503e-05,1.213040521418118670e-04
-2.088367977275356713e-04,1.431597068092576230e-04,-2.435596778545910245e-04
-1.378775592761726095e-04,8.098702032042900609e-04,2.302021206809999046e-04
-1.043367468047772103e-04,3.481413709666614145e-04,8.059980897883594090e-04
